id,question,words,core_word,answer,freq
1,乙肝疫苗是什么,乙肝疫苗,乙肝疫苗,乙肝疫苗（Hepatitis B Vaccine）是提纯的乙肝表面抗原，为死疫苗。是用于预防乙肝的特殊药物。疫苗接种后，可刺激免疫系统产生保护性抗体，这种抗体存在于人的体液中，乙肝病毒一旦进入体内，抗体会立即作用，将其清除，阻止感染，并且不会伤害到肝脏，从而使人体具有预防乙肝的免疫力，以达到预防乙肝感染的目的。接种第一针乙肝疫苗后，只有30%的人产生乙肝表面抗体；接种第二针后，有90%的人产生抗体；接种第三针后抗体的阳性率可达96%以上，而且抗体效果持续维持在较高水平。,
2,卡介苗疫苗是什么,"卡介苗,疫苗",卡介苗,卡介苗（BCG）是一种无毒牛型结核分枝杆菌活菌疫苗，它可以阻止结核分枝杆菌的血液播散，但不能阻止原发感染，主要预防婴幼儿结核性脑膜炎和结核播散性疾病，如果不予治疗，这两种疾病通常致死。,
3,脊灰疫苗是什么,"脊灰,疫苗",脊灰,脊髓灰质炎疫苗，用于预防脊髓灰质炎。脊髓灰质炎是由脊髓灰质炎病毒引起的一种急性传染病。临床表现主要以发热、上呼吸道症状、肢体疼痛为主。,
4,百白破疫苗是什么,"百白破,疫苗,什么",百白破,百白破疫苗是由百日咳菌苗、白喉类毒素及破伤风类毒素混合制成，可以同时预防百日咳、白喉和破伤风。,
5,白破疫苗是什么,"白破,疫苗,什么",白破,白破疫苗是一种儿童疫苗，用于预防白喉、破伤风的发生。白破疫苗由白喉类毒素及破伤风类毒素原液混合而成。,
6,麻疹风疹联合减毒活疫苗是什么,"麻疹,风疹,联合,减毒活疫苗",麻疹,麻疹风疹联合减毒活疫苗可刺激机体产生抗麻疹病毒和风疹病毒的免疫力，用于预防麻疹和风疹。,
7,麻腮风联合减毒活疫苗是什么,"麻腮风,联合,减毒活疫苗",联合,麻腮风联合减毒活疫苗可刺激机体产生抗麻疹病毒、腮腺炎病毒和风疹病毒的免疫力，用于预防麻疹、腮腺炎和风疹。,
8,乙脑减毒活疫苗是什么,"乙脑,减毒活疫苗",乙脑,本疫苗系用流行性乙型乙脑病毒减毒柱接种原代地鼠肾细胞，经培养、收货病毒液，加入适宜稳定剂冻干制成。为淡黄色或淡粉色疏松体，复溶后为橘红色或淡粉红色澄明液体。,
9,a群流脑多糖疫苗是什么,"a群流脑,多糖,疫苗",a群流脑,a群流脑多糖疫苗是指a群脑膜炎球菌多糖疫苗，用于预防a群脑膜炎球菌引起的流行性脑脊髓膜炎。适用于6个月~15岁少年儿童接种。基础免疫注射2针，从6月龄开始，每针间隔3个月；3岁以上儿童只需注射1次。接种应于流行性脑髓膜炎流行季节前完成。根据需要每3年复种1次。在遇到流行情况下，可扩大年龄组做应急接种。,
10,a+c群流脑多糖疫苗是什么,"a+c群流脑多糖,疫苗",a+c群流脑多糖,a+c群流脑多糖疫苗是指a群C群脑膜炎球菌多糖疫苗，用于预防a群和C群脑膜炎球菌引起的流行性脑脊髓膜炎。,
